Benchmarks,Committed Insts,Committed Insts Tainted,Committed Loads,Simulated Total Ops,Simulated SE ALU Operations,Simulated SE Encryptions,Simulated SE Decryptions
bubble-sort,302274657,150707201,230580544,744175485,176769185,13158400,32844612
distinctness,14235495,5211163,8779976,33090866,6013789,401058,1202541
edit-distance,349556281,105350000,208379106,796112030,120551193,5150005,24550000
eulers-number-approx,902125200,300000240,513121,1803711212,300000120,60,180
fft-int,608506602,183700036,297026599,1328597328,227887652,8654572,32626073
flood-fill,3714704,251632,1245672,7036004,280046,18662,68847
gradient-descent,1075412275,752001760,1079597004,2852784626,589000612,1000624,215000874
kadane,13235361,7211441,7854955,31157031,9556244,182360,1263862
kepler-calc,15367551,2942200,6994387,32439230,3052390,319717,550617
lda,14190562,281925,4320463,27776783,461416,44310,91597
mersenne,446129773,25627435,136506240,886759943,23746924,2438142,5374642
minspan,32544522,14376814,28931435,88408605,15442271,1015220,4479921
nonlinear-nn,1068477814,4400000,280748173,2059598081,12000106,500023,1200000
nr-solver,198125806,16701500,91604714,425020249,13599913,4550004,4076000
parrando,494907913,228047336,324497844,1198848765,294050579,5005332,48011106
rad-to-degree,1295970212,1841100,347252224,2501194492,1624500,216600,649800
shortest-path,33722021,4085949,14025788,71440851,4743598,320135,1088128
string-search,47617169,10320038,30414911,115015124,6065472,1654248,3794559
string-search-optimized,39524509,13195497,19915935,85808182,15497844,710474,2170071
tea-cipher,4985928,714530,1159717,8760950,703048,9017,18037
triangle-count,22419454,7615015,24917211,65787454,2969346,2452842,2453338
