Benchmarks,EncIntAlu,EncIntDiv,EncIntMult,EncFPALU,EncFloatMult,EncFloatMultAcc,EncFloatDiv,EncFloatMisc,EncFloatSqrt,EncSIMDInst
bubble-sort,646166,0,0,0,0,0,0,0,0,563600
distinctness,7610043,0,0,0,0,0,0,0,0,4410622
edit-distance,101176514,0,0,0,0,0,0,0,0,72549968
eulers-number-approx,0,0,0,0,0,0,0,0,0,300000060
flood-fill,257601,0,0,0,0,0,0,0,0,162728
fft-int,117167199,0,4096000,0,0,0,0,0,0,109321524
gradient-descent,106000000,0,0,0,0,0,0,0,0,482000312
kadane,5584567,0,0,0,0,0,0,0,0,5227580
kepler-calc,165620,0,0,0,0,0,0,0,0,156927
lda,8415,0,0,0,0,0,0,0,0,3513
mersenne,20671136,0,1248000,0,0,0,0,0,0,4374793
minspan,10555253,0,0,0,0,0,0,0,0,7850515
mnist-cnn,3792334,0,0,0,0,0,0,0,0,67965483
nonlinear-nn,4000044,0,0,0,0,0,0,0,0,2400006
nr-solver,244558,0,0,0,0,0,0,0,0,242510
parrando,206101470,0,2000000,0,0,0,0,0,0,176029286
rad-to-degree,433200,0,0,0,0,0,0,0,0,758100
shortest-path,3328165,0,0,0,0,0,0,0,0,2496320
string-search,18199464,0,0,0,0,0,0,0,0,7925291
tea-cipher,678028,0,0,0,0,0,0,0,0,36508
triangle-count,6600500,0,2197500,0,0,0,0,0,0,1102500
